Data;Ora UTC;ID_Transetto;Operazioni;Commento;Litter;NOTE
30/10/2025;13:46:32;008_T05;Off Deck;;;registrazione interrotta e ripresa subito dopo
30/10/2025;16:32:53;008_T05;Commento;;;raggiunto fondo fango con cime
30/10/2025;16:32:53;008_T05;Inizio transetto;;;Orario da controllare 
30/10/2025;16:32:53;008_T05;Commento;Anfora;J219 oggetto ceramica non identificabile;anfora
30/10/2025;16:32:53;008_T05;Commento;numerose spugne bianche e gille su roccia;;
30/10/2025;16:32:53;008_T05;Commento;pillow lava;;
30/10/2025;16:32:53;008_T05;Commento;Anfora;J219 oggetto ceramica non identificabile;anfora
30/10/2025;16:32:53;008_T05;Commento;roccia lavica con scheletri coralli epibiontati e spugne;;
30/10/2025;16:32:53;008_T05;Commento;matte batterica? ;;
30/10/2025;16:32:53;008_T05;Commento;coral rubble sotto roccia;;
30/10/2025;16:32:53;008_T05;Commento;scheletro corallo morto;;
30/10/2025;16:32:53;008_T05;Commento;coral rubble;;
30/10/2025;16:32:53;008_T05;Commento;coral rubble (lophelia?);;
30/10/2025;16:32:53;008_T05;Commento;;;
30/10/2025;16:32:53;008_T05;Fine transetto;corallo morto epibiontato;;Orario da controllare 
30/10/2025;16:32:53;008_T14;Inizio transetto;;;Orario da controllare 
30/10/2025;16:32:53;008_T14;Commento;gambero;;
30/10/2025;16:32:53;008_T14;Commento;coral rubble;;
30/10/2025;16:32:53;008_T14;Commento;spugne gialle e bianche su roccia;;
30/10/2025;16:32:53;008_T14;Commento;gambero;;
30/10/2025;16:32:53;008_T14;Commento;b. viridis;;
30/10/2025;16:32:53;008_T14;Commento;coral rubble ;;
30/10/2025;16:32:53;008_T14;Commento;piccoli zoantidei bianchi su roccia ;;
30/10/2025;16:32:53;008_T14;Commento;numerose spugne incrostanti gialle;;
30/10/2025;16:32:53;008_T14;Commento;Lenza;;
30/10/2025;16:32:53;008_T14;Commento;Munida sp.;;
30/10/2025;16:32:53;008_T14;Commento;Madrepora prevalentemente morta;;
30/10/2025;16:32:53;008_T14;Commento;Pesce (Phycis phycis);;
30/10/2025;16:32:53;008_T14;Commento;P. regalis;;
30/10/2025;16:32:53;008_T14;Commento;Pesce;;
30/10/2025;16:32:53;008_T14;Commento;Gamberetto;;
