ASFIndex,Date,Time,Area,Lat,Long,Speed,P,Heading,mp,Altitude,Sal,T,Depth,E,N
00:00:00.222,18/01/2026,08:30:53,17_T02,39.122202534,10.181991008,0.2,1825.23,66.47,159.499,1.2,38.52,13.42,1824.23,4336834.03,1781579.31
00:00:01.235,18/01/2026,08:30:54,17_T02,39.122203063,10.181993317,0.2,1825.23,66.45,159.706,1.1,38.52,13.42,1824.23,4336834.23,1781579.37
00:00:02.231,18/01/2026,08:30:55,17_T02,39.122203470,10.181995196,0.2,1825.19,66.44,159.873,1.1,38.52,13.42,1824.21,4336834.39,1781579.42
00:00:03.226,18/01/2026,08:30:56,17_T02,39.122203686,10.181996090,0.2,1825.13,66.47,159.954,1.2,38.52,13.42,1824.21,4336834.47,1781579.44
00:00:04.223,18/01/2026,08:30:57,17_T02,39.122203868,10.181997029,0.2,1825.07,66.55,160.037,1.2,38.52,13.43,1824.12,4336834.55,1781579.46
00:00:05.233,18/01/2026,08:30:58,17_T02,39.122204164,10.181998122,0.2,1825.03,66.60,160.137,1.3,38.52,13.43,1824.12,4336834.65,1781579.49
00:00:06.224,18/01/2026,08:30:59,17_T02,39.122205017,10.182000074,0.2,1825.02,66.57,160.330,1.2,38.52,13.43,1824.00,4336834.82,1781579.59
00:00:07.223,18/01/2026,08:31:00,17_T02,39.122205878,10.182002000,0.2,1825.02,66.45,160.522,1.2,38.52,13.43,1824.00,4336834.99,1781579.68
00:00:08.235,18/01/2026,08:31:01,17_T02,39.122206347,10.182003250,0.2,1825.01,66.31,160.643,1.1,38.52,13.43,1824.00,4336835.09,1781579.74
00:00:09.230,18/01/2026,08:31:02,17_T02,39.122206666,10.182004269,0.2,1824.97,66.27,160.738,1.1,38.52,13.43,1824.00,4336835.18,1781579.77
00:00:10.226,18/01/2026,08:31:03,17_T02,39.122206868,10.182005140,0.2,1824.90,66.33,160.816,1.2,38.52,13.43,1823.95,4336835.26,1781579.79
00:00:11.234,18/01/2026,08:31:04,17_T02,39.122207097,10.182006134,0.2,1824.84,66.43,160.906,1.2,38.52,13.43,1823.95,4336835.34,1781579.82
00:00:12.229,18/01/2026,08:31:05,17_T02,39.122207441,10.182007248,0.2,1824.80,66.48,161.010,1.3,38.52,13.43,1823.81,4336835.44,1781579.86
00:00:13.226,18/01/2026,08:31:06,17_T02,39.122207885,10.182008608,0.2,1824.80,66.47,161.138,1.2,38.52,13.43,1823.81,4336835.56,1781579.91
00:00:14.221,18/01/2026,08:31:07,17_T02,39.122208349,10.182009910,0.2,1824.81,66.40,161.262,1.2,38.52,13.43,1823.79,4336835.67,1781579.96
00:00:15.229,18/01/2026,08:31:08,17_T02,39.122208762,10.182011096,0.2,1824.79,66.35,161.375,1.1,38.52,13.43,1823.79,4336835.78,1781580.00
