Data;Ora UTC;ID_Transetto;Operazioni;Commento;Litter;NOTE
16/01/2026;20:44:23;test;Off Deck;;;video on in discesa per raggiungere fondo per test manipolatore
16/01/2026;20:56:43;test;Commento;;;finto commento
16/01/2026;21:11:26;test;Commento;;;test manipolatore
16/01/2026;21:18:41;test;Commento;;;out of tms
16/01/2026;21:37:36;test;Commento;;;Polichete fossorio
16/01/2026;21:39:27;test;Commento;;;Conchiglia di Janthina sp
16/01/2026;21:42:49;test;Commento;;;Conchiglie di pteropodi
16/01/2026;21:45:13;test;Biologico ;;;Annullato
16/01/2026;21:47:06;test;Commento;;;Polichete solito, almeno 3 nello stesso frame
16/01/2026;21:51:24;test;Commento;;;Foto 4k polichete
16/01/2026;21:56:41;test;Commento;;;foto hd polichete
16/01/2026;22:49:32;test;Commento;;;foto hd polichete
16/01/2026;23:02:18;test;Biologico ;;;"Prova manipolatore su organismo bianco appiattito (valva?); si è frantumato"
16/01/2026;23:24:10;test;Commento;;J13 bottiglia o contenitore plastica;"Inizio transetto lineare di 1 km  per testare ADCP; non possiamo intervenire su velocità  e direzione"
16/01/2026;23:26:17;test;Commento;;;Bathypterois dubius
16/01/2026;23:34:21;test;Commento;;J241 oggetto plastica rigida;
16/01/2026;23:45:07;test;Fine transetto;;;
16/01/2026;23:57:07;test;Commento;;;ROV on TMS
17/01/2026;20:37:04;New test;Off Deck;;;Commento in ritardo rispetto a DVR
17/01/2026;20:52:24;New test;Commento;;;Out of TMS
17/01/2026;20:59:04;New test;Commento;;;Beacon in sight
17/01/2026;21:03:06;New test;Commento;;;On TMS
17/01/2026;21:23:01;New test;Commento;;;Out of water
17/01/2026;21:25:07;New test;On Deck;;;
18/01/2026;03:03:01;21_T08;Off Deck;;;
18/01/2026;04:02:21;21_T08;Commento;Chauliodus sloani;;
18/01/2026;04:18:11;21_T08;Commento;;;Prove movimento toolbox e stabilità ROV
18/01/2026;04:25:36;21_T08;Commento;;;ROV viene recuperato per troppo peso toolbox
18/01/2026;05:03:03;21_T08;On Deck;;;
18/01/2026;05:49:13;21_T08;Off Deck;;;
18/01/2026;07:19:12;21_T08;Inizio transetto;;;
18/01/2026;07:19:40;21_T08;Commento;Chauliodus sloani;;
18/01/2026;07:22:57;21_T08;Commento;;;Il ROV viene sollevato dal fonto e portato a quota maggiore per pulire il sensore (?) dal sedimento
18/01/2026;07:29:19;21_T08;Commento;;;Torniamo sul fondo
18/01/2026;07:44:04;21_T08;Commento;;;stoppiamo la registrazione sul DVR su richiesta della Survey per un problema su Qinsy
18/01/2026;07:51:10;21_T08;Commento;;;Riprendiamo la registrazione poichè si è risolto il problema su Qinsy
18/01/2026;08:00:01;21_T08;Commento;;;segnate altro ALDFGs cordame
18/01/2026;08:02:05;21_T08;Commento;;;Interrompiamo il transetto per problemi di comunicazione con il programma di navigazione
18/01/2026;08:41:42;21_T08;On Deck;;;
18/01/2026;10:58:37;21_T08;Off Deck;;;
18/01/2026;12:14:00;21_T08;Commento;;;out of TMS
18/01/2026;13:26:21;21_T08;Inizio transetto;;;
18/01/2026;13:28:46;21_T08;Commento;Chauliodus sloani;;
18/01/2026;13:32:34;21_T08;Commento;Chauliodus sloani;;
18/01/2026;13:33:56;21_T08;Commento;Chauliodus sloani;;
18/01/2026;13:34:49;21_T08;Commento;;;Cooelorincus
18/01/2026;13:35:21;21_T08;Commento;Bathypterois dubius;;
18/01/2026;13:35:29;21_T08;Commento;Chauliodus sloani;;
18/01/2026;13:40:38;21_T08;Commento;;;rami sul fondale
18/01/2026;13:44:32;21_T08;Commento;Scaeurgus unicirrhus;;
18/01/2026;13:56:46;21_T08;Commento;;;segni di strascico
18/01/2026;14:18:16;21_T08;Commento;Faciolella oxyrincha;;
18/01/2026;14:26:17;21_T08;Commento;;;Standby tecnico (perdita posizione)
18/01/2026;14:33:41;21_T08;Commento;;;riprendiamo la navigazione (operativo)
18/01/2026;14:50:14;21_T08;Commento;Munida;;
18/01/2026;14:50:15;21_T08;Commento;Plesionika giglioli;;
18/01/2026;14:50:41;21_T08;Commento;;;Spugna blu
18/01/2026;14:51:28;21_T08;Commento;;;Spugne bianche
18/01/2026;14:53:41;21_T08;Commento;;;Spugne gialle
18/01/2026;15:00:46;21_T08;Commento;;;Numerose Hamacantha facula
18/01/2026;15:01:37;21_T08;Commento;;;Caryophilla
18/01/2026;15:02:03;21_T08;Commento;Munida;;
18/01/2026;15:06:53;21_T08;Commento;;;Spugna bianca
18/01/2026;15:15:24;21_T08;Commento;Munida;;
18/01/2026;15:16:55;21_T08;Commento;;;Caryophilla
18/01/2026;15:17:20;21_T08;Commento;;;Spondilo potenziale
18/01/2026;15:19:02;21_T08;Commento;Munida;;
18/01/2026;15:19:40;21_T08;Commento;;;Tante Hamacantha
18/01/2026;15:22:07;21_T08;Commento;;;Spugna gialla verdina
18/01/2026;15:23:18;21_T08;Commento;Munida;;
18/01/2026;15:23:44;21_T08;Commento;;;Muricide
18/01/2026;15:24:03;21_T08;Commento;;;Spugna bianca piatta
18/01/2026;15:29:23;21_T08;Commento;;;Tante spugne bianche
18/01/2026;15:31:18;21_T08;Commento;Munida;;
18/01/2026;15:31:31;21_T08;Commento;;;Tante Hamacantha
18/01/2026;15:37:13;21_T08;Commento;;;Spugna bianca incrostante
18/01/2026;15:40:00;21_T08;Commento;;;Aristeomorpha/Aristeus
18/01/2026;15:43:58;21_T08;Commento;;;Tanta Hamacantha
18/01/2026;15:45:50;21_T08;Commento;;;Valve di Spondilo 
18/01/2026;15:53:07;21_T08;Commento;;;Interrompiamo il transetto per problemi di comunicazione con il programma di navigazione
