ASFIndex,Date,Time,Area,Lat,Long,Speed,P,Heading,mp,Altitude,Sal,T,Depth,E,N
00:00:00.248,18/01/2026,08:00:53,17_T02,39.121525116,10.180468726,0.1,1872.47,68.18,8.056,2.0,38.52,13.42,1871.22,4336701.75,1781504.25
00:00:01.247,18/01/2026,08:00:54,17_T02,39.121525494,10.180469626,0.1,1872.60,68.03,8.144,1.9,38.52,13.43,1871.56,4336701.82,1781504.29
00:00:02.259,18/01/2026,08:00:55,17_T02,39.121525929,10.180471331,0.1,1872.71,68.15,8.299,1.8,38.52,13.43,1871.56,4336701.97,1781504.34
00:00:03.249,18/01/2026,08:00:56,17_T02,39.121526531,10.180473732,0.2,1872.83,68.47,8.517,1.7,38.52,13.44,1871.77,4336702.18,1781504.41
00:00:04.256,18/01/2026,08:00:57,17_T02,39.121527028,10.180473984,0.2,1872.94,68.80,8.560,1.6,38.52,13.44,1871.77,4336702.20,1781504.46
00:00:05.255,18/01/2026,08:00:58,17_T02,39.121527718,10.180474990,0.2,1873.04,69.16,8.671,1.4,38.52,13.44,1872.01,4336702.29,1781504.54
00:00:06.247,18/01/2026,08:00:59,17_T02,39.121528613,10.180478046,0.3,1873.13,69.35,8.954,1.4,38.52,13.44,1872.01,4336702.56,1781504.64
00:00:07.256,18/01/2026,08:01:00,17_T02,39.121529560,10.180480952,0.4,1873.19,69.42,9.227,1.1,38.52,13.44,1872.17,4336702.81,1781504.74
00:00:08.256,18/01/2026,08:01:01,17_T02,39.121530668,10.180483615,0.4,1873.23,69.29,9.489,1.3,38.52,13.44,1872.17,4336703.04,1781504.87
00:00:09.254,18/01/2026,08:01:02,17_T02,39.121531143,10.180485390,0.4,1873.26,69.04,9.651,1.3,38.51,13.44,1872.26,4336703.19,1781504.92
00:00:10.250,18/01/2026,08:01:03,17_T02,39.121531655,10.180487081,0.4,1873.29,68.67,9.808,0.9,38.51,13.44,1872.26,4336703.34,1781504.97
00:00:11.246,18/01/2026,08:01:04,17_T02,39.121532716,10.180488977,0.4,1873.33,68.28,10.007,0.9,38.51,13.44,1872.26,4336703.51,1781505.09
00:00:12.254,18/01/2026,08:01:05,17_T02,39.121533606,10.180490815,0.4,1873.36,68.10,10.193,0.9,38.52,13.43,1872.33,4336703.67,1781505.19
00:00:13.259,18/01/2026,08:01:06,17_T02,39.121534292,10.180492644,0.3,1873.38,68.05,10.369,0.9,38.52,13.43,1872.33,4336703.82,1781505.27
00:00:14.254,18/01/2026,08:01:07,17_T02,39.121534871,10.180494314,0.3,1873.38,68.06,10.528,0.4,38.52,13.43,1872.40,4336703.97,1781505.33
00:00:15.251,18/01/2026,08:01:08,17_T02,39.121534212,10.180495148,0.3,1873.37,68.10,10.564,0.7,38.52,13.43,1872.40,4336704.04,1781505.26
00:00:16.255,18/01/2026,08:01:09,17_T02,39.121533617,10.180496172,0.3,1873.36,68.11,10.619,0.9,38.52,13.43,1872.39,4336704.13,1781505.19
00:00:17.249,18/01/2026,08:01:10,17_T02,39.121533905,10.180497585,0.3,1873.38,68.11,10.744,1.0,38.52,13.43,1872.39,4336704.25,1781505.23
00:00:18.256,18/01/2026,08:01:11,17_T02,39.121534277,10.180499158,0.3,1873.40,68.07,10.886,1.0,38.52,13.43,1872.39,4336704.39,1781505.27
00:00:19.252,18/01/2026,08:01:12,17_T02,39.121534720,10.180500670,0.3,1873.42,67.95,11.026,0.8,38.52,13.43,1872.39,4336704.52,1781505.32
00:00:20.247,18/01/2026,08:01:13,17_T02,39.121535087,10.180502313,0.3,1873.45,67.83,11.173,0.9,38.52,13.44,1872.44,4336704.67,1781505.36
00:00:21.256,18/01/2026,08:01:14,17_T02,39.121533790,10.180502749,0.3,1873.46,67.68,11.149,0.8,38.52,13.44,1872.44,4336704.70,1781505.21
00:00:22.254,18/01/2026,08:01:15,17_T02,39.121532831,10.180502963,0.3,1873.48,67.52,11.123,0.9,38.52,13.43,1872.49,4336704.72,1781505.11
00:00:23.250,18/01/2026,08:01:16,17_T02,39.121533230,10.180504223,0.3,1873.50,67.40,11.241,0.9,38.52,13.43,1872.49,4336704.83,1781505.15
00:00:24.247,18/01/2026,08:01:17,17_T02,39.121533525,10.180505400,0.3,1873.56,67.23,11.348,1.0,38.52,13.43,1872.52,4336704.93,1781505.18
00:00:25.259,18/01/2026,08:01:18,17_T02,39.121533999,10.180506505,0.2,1873.63,67.04,11.457,0.9,38.52,13.43,1872.52,4336705.03,1781505.24
00:00:26.256,18/01/2026,08:01:19,17_T02,39.121534515,10.180507613,0.2,1873.68,66.87,11.568,0.9,38.51,13.43,1872.63,4336705.13,1781505.29
00:00:27.252,18/01/2026,08:01:20,17_T02,39.121534373,10.180507855,0.2,1873.74,66.76,11.581,0.8,38.51,13.43,1872.63,4336705.15,1781505.28
00:00:28.246,18/01/2026,08:01:21,17_T02,39.121534193,10.180508163,0.2,1873.79,66.68,11.597,0.8,38.52,13.42,1872.77,4336705.17,1781505.26
00:00:29.258,18/01/2026,08:01:22,17_T02,39.121534435,10.180508985,0.2,1873.84,66.59,11.673,0.7,38.52,13.42,1872.77,4336705.25,1781505.29
00:00:30.250,18/01/2026,08:01:23,17_T02,39.121534731,10.180509812,0.2,1873.88,66.53,11.752,0.7,38.52,13.42,1872.85,4336705.32,1781505.32
00:00:31.250,18/01/2026,08:01:24,17_T02,39.121535080,10.180510728,0.2,1873.93,66.48,11.841,0.6,38.52,13.42,1872.85,4336705.40,1781505.36
00:00:32.246,18/01/2026,08:01:25,17_T02,39.121535392,10.180511580,0.1,1873.98,66.44,11.923,0.6,38.52,13.42,1872.94,4336705.47,1781505.39
00:00:33.246,18/01/2026,08:01:26,17_T02,39.121536893,10.180513888,0.1,1874.03,66.46,12.174,0.5,38.52,13.42,1872.94,4336705.67,1781505.56
00:00:34.258,18/01/2026,08:01:27,17_T02,39.121538259,10.180516070,0.2,1874.07,66.51,12.408,0.5,38.52,13.42,1873.06,4336705.86,1781505.71
00:00:35.252,18/01/2026,08:01:28,17_T02,39.121538513,10.180516820,0.2,1874.10,66.56,12.479,0.5,38.52,13.42,1873.06,4336705.93,1781505.74
00:00:36.250,18/01/2026,08:01:29,17_T02,39.121538735,10.180517519,0.2,1874.13,66.60,12.545,0.4,38.52,13.42,1873.12,4336705.99,1781505.76
00:00:37.247,18/01/2026,08:01:30,17_T02,39.121538939,10.180518283,0.2,1874.15,66.64,12.615,0.4,38.52,13.42,1873.12,4336706.05,1781505.78
00:00:38.256,18/01/2026,08:01:31,17_T02,39.121539161,10.180519098,0.2,1874.17,66.68,12.690,0.4,38.52,13.42,1873.17,4336706.12,1781505.81
00:00:39.249,18/01/2026,08:01:32,17_T02,39.121540319,10.180521876,0.2,1874.18,66.72,12.962,0.4,38.52,13.42,1873.17,4336706.37,1781505.94
00:00:40.259,18/01/2026,08:01:33,17_T02,39.121541359,10.180524423,0.2,1874.19,66.76,13.212,0.4,38.52,13.42,1873.21,4336706.59,1781506.05
00:00:41.258,18/01/2026,08:01:34,17_T02,39.121541553,10.180525102,0.1,1874.20,66.80,13.274,0.4,38.52,13.42,1873.21,4336706.65,1781506.07
00:00:42.254,18/01/2026,08:01:35,17_T02,39.121541723,10.180525701,0.1,1874.20,66.79,13.330,0.4,38.52,13.42,1873.21,4336706.70,1781506.09
00:00:43.248,18/01/2026,08:01:36,17_T02,39.121541924,10.180526375,0.1,1874.22,66.76,13.392,0.4,38.52,13.42,1873.21,4336706.76,1781506.12
00:00:44.259,18/01/2026,08:01:37,17_T02,39.121542179,10.180527106,0.1,1874.23,66.76,13.462,0.3,38.52,13.42,1873.23,4336706.82,1781506.14
00:00:45.254,18/01/2026,08:01:38,17_T02,39.121543190,10.180528566,0.2,1874.25,66.74,13.623,0.3,38.52,13.42,1873.23,4336706.95,1781506.26
00:00:46.252,18/01/2026,08:01:39,17_T02,39.121544009,10.180529740,0.2,1874.26,66.71,13.753,0.3,38.52,13.42,1873.25,4336707.05,1781506.35
00:00:47.253,18/01/2026,08:01:40,17_T02,39.121544182,10.180530237,0.2,1874.28,66.65,13.801,0.3,38.52,13.42,1873.25,4336707.09,1781506.37
